nombre,deporte,precioHora,ubicacion,clubEmail,imagen,iluminacion,superficie
Pista 1,Pádel,48,New Vicky,Whitney_Greenholt@yahoo.com,,,Césped
Pista 2,Pádel,50,Davis,Dewitt_Orn14@hotmail.com,,,Sintética
Pista 3,Baloncesto,43,New Kaylinhaven,Stephan_Langosh@gmail.com,,,Césped
Pista 4,Pádel,22,Verlafort,Nina.Stokes@hotmail.com,,,Tierra batida
Pista 5,Fútbol 5,45,Adelbertboro,Whitney_Greenholt@yahoo.com,,,Sintética
Pista 6,Fútbol 5,15,West Otiliabury,Stephan_Langosh@gmail.com,,true,Sintética
Pista 7,Pádel,23,East Jaredside,Jocelyn.Anderson89@hotmail.com,,,Cemento
Pista 8,Pádel,48,Dietrichstad,Josie.Yundt@yahoo.com,,,Moqueta
Pista 9,Fútbol 5,24,New Lindsay,Nina.Stokes@hotmail.com,,,Tierra batida
Pista 10,Pádel,24,New Tanya,Letha_Cassin@gmail.com,,,Césped
Pista 11,Tenis,47,East Howell,Nina.Stokes@hotmail.com,,true,Moqueta
Pista 12,Voleibol,15,Hauckland,Dewitt_Orn14@hotmail.com,,,Tierra batida
Pista 13,Voleibol,25,Jonestown,Stephan_Langosh@gmail.com,,,Sintética
Pista 14,Fútbol 5,47,Cieloborough,Patricia_Ryan26@gmail.com,,true,Moqueta
Pista 15,Fútbol 5,27,Lake Joshville,Floy_Herman@yahoo.com,,true,Sintética
Pista 16,Pádel,33,Fort Loraine,Jude_Quitzon12@yahoo.com,,true,Cemento
Pista 17,Baloncesto,15,Hayesberg,Patricia_Ryan26@gmail.com,,,Sintética
Pista 18,Pádel,33,Connellyworth,Geovany84@hotmail.com,,,Sintética
Pista 19,Fútbol 5,12,South Melvin,Elisabeth_Carroll88@hotmail.com,,true,Moqueta
Pista 20,Fútbol 5,37,South Joellehaven,Dewitt_Orn14@hotmail.com,,true,Tierra batida
Pista 21,Tenis,23,Canton,Dewitt_Orn14@hotmail.com,,true,Moqueta
Pista 22,Voleibol,32,New Estelbury,Nina.Stokes@hotmail.com,,,Cemento
Pista 23,Fútbol 5,10,South Carley,Geovany84@hotmail.com,,true,Césped
Pista 24,Fútbol 5,21,East Forrestberg,Floy_Herman@yahoo.com,,,Tierra batida
Pista 25,Voleibol,27,Kurtport,Stephan_Langosh@gmail.com,,true,Césped
Pista 26,Pádel,14,Bashiriancester,Patricia_Ryan26@gmail.com,,,Tierra batida
Pista 27,Tenis,49,McCluretown,Patricia_Ryan26@gmail.com,,,Cemento
Pista 28,Voleibol,26,New Maggie,Josie.Yundt@yahoo.com,,true,Moqueta
Pista 29,Voleibol,45,Mosciskiworth,Josie.Yundt@yahoo.com,,true,Moqueta
Pista 30,Baloncesto,37,New Adalinefurt,Patricia_Ryan26@gmail.com,,,Sintética
Pista 31,Fútbol 5,31,Eleanorecester,Stephan_Langosh@gmail.com,,true,Moqueta
Pista 32,Baloncesto,19,South Javier,Josie.Yundt@yahoo.com,,true,Cemento
Pista 33,Voleibol,41,Kanecester,Elisabeth_Carroll88@hotmail.com,,,Tierra batida
Pista 34,Pádel,16,Windlerton,Nina.Stokes@hotmail.com,,true,Césped
Pista 35,Tenis,32,Cleveland,Letha_Cassin@gmail.com,,true,Tierra batida
Pista 36,Pádel,44,Elverashire,Letha_Cassin@gmail.com,,,Césped
Pista 37,Fútbol 5,19,Schaumburg,Elisabeth_Carroll88@hotmail.com,,true,Cemento
Pista 38,Pádel,45,Millcreek,Stephan_Langosh@gmail.com,,,Cemento
Pista 39,Pádel,26,New Alba,Dewitt_Orn14@hotmail.com,,,Moqueta
Pista 40,Fútbol 5,15,Menifee,Dewitt_Orn14@hotmail.com,,,Moqueta
Pista 41,Tenis,17,Trenton,Dewitt_Orn14@hotmail.com,,,Moqueta
Pista 42,Pádel,12,New Rochelle,Letha_Cassin@gmail.com,,,Moqueta
Pista 43,Pádel,32,Lubowitzburgh,Elisabeth_Carroll88@hotmail.com,,true,Cemento
Pista 44,Voleibol,20,East Fabianfurt,Letha_Cassin@gmail.com,,,Moqueta
Pista 45,Tenis,32,Dickensberg,Josie.Yundt@yahoo.com,,true,Moqueta
Pista 46,Baloncesto,10,Attleboro,Whitney_Greenholt@yahoo.com,,true,Tierra batida
Pista 47,Pádel,11,Fort Junior,Adelle.Block@hotmail.com,,true,Tierra batida
Pista 48,Voleibol,49,Jaskolskihaven,Adelle.Block@hotmail.com,,true,Moqueta
Pista 49,Baloncesto,45,Marianstad,Adelle.Block@hotmail.com,,true,Cemento
Pista 50,Pádel,32,Richmond,Dewitt_Orn14@hotmail.com,,true,Moqueta
